Subject	Time	Site	Organism	Recip_Ct
P19	-7	Saliva	Pg	0.030864197530864
P20	-7	Saliva	Pg	0.039564787339268
P21	-7	Saliva	Pg	0.032927230819888
P22	-7	Saliva	Pg	0.031670625494854
P23	-7	Saliva	Pg	0.033681374200067
P24	-7	Saliva	Pg	0.041211621677313
P25	-7	Saliva	Pg	0.032346757237587
P11	21	Tongue	Pg	0.030152268958239
P12	21	Tongue	Pg	0.029568302779421
P13	21	Tongue	Pg	0.033239155725445
P14	21	Tongue	Pg	0.025
P15	21	Tongue	Pg	0.037579857196543
P16	21	Tongue	Pg	0.031022180859315
P17	21	Tongue	Pg	0.032113037893385
P18	21	Tongue	Pg	0.02674154298703
P19	21	Tongue	Pg	0.031695721077655
P20	21	Tongue	Pg	0.029590176061548
P21	21	Tongue	Pg	0.037579857196543
P22	21	Tongue	Pg	0.034722222222222
P23	21	Tongue	Pg	0.02910784456411
P24	21	Tongue	Pg	0.035733428622476
P25	21	Tongue	Pg	0.036120642947445
P11	21	Saliva	Pg	0.032992411745299
P12	21	Saliva	Pg	0.033239155725445
P13	21	Saliva	Pg	0.035118525021949
P14	21	Saliva	Pg	0.031421838177533
P15	21	Saliva	Pg	0.041034058268363
P16	21	Saliva	Pg	0.034518467380048
P17	21	Saliva	Pg	0.034891835310537
P18	21	Saliva	Pg	0.03257328990228
P19	21	Saliva	Pg	0.033921302578019
P20	21	Saliva	Pg	0.039912193175015
P21	21	Saliva	Pg	0.038842493688095
P22	21	Saliva	Pg	0.034746351633079
P23	21	Saliva	Pg	0.032133676092545
P24	21	Saliva	Pg	0.044662795891023
P25	21	Saliva	Pg	0.031720856463125
P11	35	Tongue	Pg	0.032118194957443
P12	35	Tongue	Pg	0.025
P13	35	Tongue	Pg	0.025
P14	35	Tongue	Pg	0.025
P15	35	Tongue	Pg	0.031786395422759
P16	35	Tongue	Pg	0.025
P17	35	Tongue	Pg	0.034153005464481
P18	35	Tongue	Pg	0.028184892897407
P19	35	Tongue	Pg	0.03338898163606
P20	35	Tongue	Pg	0.032010243277849
P21	35	Tongue	Pg	0.039047247169075
P22	35	Tongue	Pg	0.031206116398814
P23	35	Tongue	Pg	0.027677830058124
