"SubG_GLM_p"	"SupG_GLM_p"	"Sal_GLM_p"	"T_GLM_p"	"SupG_GLM_slope"	"Sal_GLM_slope"	"T_GLM_slope"	"SubG_GLM_slope"	"SubG_GLM_p_adj"	"SupG_GLM_p_adj"	"Sal_GLM_p_adj"	"T_GLM_p_adj"
"03be74f601879b4e493a2df91533ddc5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03d1036f0c912c639bc6af2c104fa751"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03d7898b4f0d689d8ec3fd07e67aa6d7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03d949112f49c0c67a2f9f37465366fa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03eb50fe994d350836ab526c4599d0a0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03ed3f2cd03acd72fa7289ecd48f88a4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03f2209ef3e860bc3e4f5d52b7b08446"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03faf156152839478ab6c439410ebe2e"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03fe6b881c188a2c65d7f6de8371da64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04079963b9b17e5e78340ad821fe2bdf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"040b73a8f351697f6c2902755bff5f9b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0420b13868c273dc069eb3d4ec898fe7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"042e89dc4c7a93bc63db41acc88fd562"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04307997d1743305343d5cd3a9cfcfc7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0433153f11b73c7759fae6f3b36e9387"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0433713b1d3fd37973165b714e5fc896"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04344ffb3193b32e6f7d7c970fe7cb71"	0.106203926480158	NA	NA	NA	NA	NA	NA	-0.0132738455161458	0.334197516254347	NA	NA	NA
"044c804be99c2971195b8466ec676173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"045969f7c53177c859591ab1633124df"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04674f24ccf421de9eb84dbdb6623f5d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04679970011bc150ba6e7366ef9dc818"	0.289521561294838	0.12659389596167	NA	NA	-0.0125650177128569	NA	NA	-0.00816330592826989	0.501928702650265	0.353494957641837	NA	NA
"0468607ef752e3a711fd72d587a2de23"	0.696434056872557	NA	NA	NA	NA	NA	NA	0.00442830109697626	0.847427691712078	NA	NA	NA
"046a652c824360bfcc7dfc720f687155"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04726f3cecaa318fb8eb31cb4324f348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"047484e23037bc7dc7d73ae16a406d95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04790c2650107bb603eeb8cfcdaa0f57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"048b58f88522ffc533a0413bc7e2b284"	NA	NA	NA	0.181686468915593	NA	NA	0.0144382488197765	NA	NA	NA	NA	0.574858058310773
"048ba591e07cc6497cf74b56110011cb"	0.248039743112973	0.862253175535839	NA	NA	0.00135888373026066	NA	NA	0.00787920504403526	0.456087571122587	0.923830536421743	NA	NA
"0498ba1720061d4410406e32a817d818"	0.933288455661889	0.427305150538605	NA	NA	0.00663945371224068	NA	NA	-0.000679958472159143	0.972574725356076	0.595520300298146	NA	NA
"049abd7a7ece9d8a948ca88c16b05b38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"049ac8ac5c3c4c06416b3d45fb27b72e"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"049b8df2e3c29ad06e576b6b2aeab14b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04a05ed568e8a73850dff9af1ac22187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04a147a8915b36fbce808a9ad556049e"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04b4c236300215459734fa52cc468796"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04bc1c57b86f1f936779eb221d29cd1b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04bf5a34a64b05ecf5db6493523a89cb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04c1db26b6cb5a283148dc0d52ca2a24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04c87218f00f1f5b553b9f8674f63761"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04ca591dd3bc191f983c81496c47a708"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04d625357bbcfbe47ae6d4f59235564f"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04d8b02fffeb5feb1a27ddf8141370a6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04de121d4893463b4b51d4e6c1e30a85"	0.76854251849055	0.0902009371055404	NA	NA	-0.0224738928736011	NA	NA	0.00462123904531743	0.882388944154901	0.308058323175419	NA	NA
"04e3e4efc2a3df5a3dea1b1bc68a8c8a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04edec869e524a18767fcd734a6f0945"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04f08cdf3245b0799c2119a226df980b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04fe96e04ab148b4c1e985791e7c68fa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0504222351d3691fbea927bb7ea7c348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"050d157684eae14c1b98c84e5877bf48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"051c6acf32d1ef1eecdceba2b4d6e3e5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"052158859ca867b12dcac8b71f299449"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
